ARTICLE,APD,TET,IMPRESSIONS
www.littlethings.com/,9999.369,2198.753,65
www.littlethings.com/1-second-a-day-high-school/,15318.000,3569.000,1
www.littlethings.com/10-cat-superpowers/,27631.400,8439.400,5
www.littlethings.com/10-dangerous-1950s-things/,1152.000,1127.000,1
www.littlethings.com/10-foods-you-shouldnt-feed-your-dog/,5354.000,1135.000,2
www.littlethings.com/10-healthy-human-foods-for-cats/,28829.454,7076.363,22
www.littlethings.com/10-iconic-princesses-time/,23499.846,2344.769,13
www.littlethings.com/10-kittens-family-photo-fail/,10159.000,5660.000,2
www.littlethings.com/10-lb-baby-born-while-driving/,2772.000,701.500,2
www.littlethings.com/10-mickey-mouse-club-facts/,5368.000,5362.000,1
www.littlethings.com/10-nail-polish-uses/,35996.914,4659.542,70
www.littlethings.com/10-second-stories/,17938.000,15645.000,1
www.littlethings.com/10-simple-gardening-hacks,24493.000,1143.000,1
www.littlethings.com/10-stretch-mark-remedies-that-actually-work/,28912.894,7235.736,19
www.littlethings.com/10-uses-for-castor-oil/,23160.333,14188.266,15
www.littlethings.com/10-vintage-kitchen-tools/,13438.195,6628.034,87
www.littlethings.com/10-year-old-boy-helps-blind-deer/,1219.000,0.000,1
www.littlethings.com/10-year-old-rescued-italy/,36621.000,102.000,1
www.littlethings.com/10-year-old-save-mom/,77928.000,1943.500,2
www.littlethings.com/11-balloon-gender-reveal/,132855.000,98324.000,1
www.littlethings.com/11-effective-heartburn-remedies/,3678.000,891.000,4
www.littlethings.com/12-animal-rescue-stories-2014/,6059.000,4048.500,2
www.littlethings.com/12-dream-symbols-you-should-never-ignore/,8293.333,5045.000,6
www.littlethings.com/12-facts-beverly-hillbillies/,65295.459,21831.216,37
www.littlethings.com/12-foot-shark-gopro-bite/,10968.000,1103.000,1
www.littlethings.com/12-hour-checklist-for-missing-dog/,4537.000,1115.000,1
www.littlethings.com/12-signs-something-is-wrong-with-your-thyroid-gland/,5660.636,3276.818,11
www.littlethings.com/124-year-old-blue-jeans/,168330.000,2105.000,1
www.littlethings.com/13-haunted-places/,14737.666,3351.833,6
www.littlethings.com/13-haunted-places//,273532.000,0.000,1
www.littlethings.com/133-degrees-puppy/,20032.667,4405.416,286
